164;Mohamed Traoré;1991-10-13;Parma Calcio 1913/Defender/Right-Back;179
165;Francesco Modesto;1982-02-16;Parma Calcio 1913/Defender/Left-Back;177
166;Emilio Mac Eachen;1992-05-04;Parma Calcio 1913/Defender/Centre-Back;184
167;Luca Baldassin;1994-05-28;Udinese Calcio/Midfield/Central Midfield;181
168;Álvaro Ampuero;1992-09-25;Parma Calcio 1913/Defender/Centre-Back;185
169;Joyce Anacoura;1994-08-01;Parma Calcio 1913/Goalkeeper/Goalkeeper;190
170;Matteo Ferrari;1994-04-05;Parma Calcio 1913/Goalkeeper/Goalkeeper;0
171;David Di Michele;1976-01-06;Chievo Verona/Attack/Centre-Forward;170
172;Cephas Malele;1994-01-08;Palermo Fc/Attack/Centre-Forward;185
173;Mauro Boselli;1985-05-22;Palermo Fc/Attack/Centre-Forward;185
174;Fabrizio Miccoli;1979-06-27;Palermo Fc/Attack/Centre-Forward;168
175;Mauro Bollino;1994-12-31;Palermo Fc/Attack/Right Winger;171
176;Mauro Formica;1988-04-04;Palermo Fc/Attack/Attacking Midfield;179
177;Stefano Cerniglia;1994-01-22;Palermo Fc/Midfield/Central Midfield;180
178;Davide Petermann;1994-12-25;Palermo Fc/Midfield/Defensive Midfield;185
179;Mauricio Sperduti;1986-02-16;Palermo Fc/Attack/Right Winger;180
180;Giulio Sanseverino;1994-02-10;Palermo Fc/Midfield/Defensive Midfield;172
181;David Aquino;1994-01-13;Palermo Fc/Defender/Right-Back;0
182;Nicolás Bertolo;1986-01-02;Palermo Fc/Attack/Left Winger;180
183;Luca Di Matteo;1988-02-25;Palermo Fc/Defender/Left-Back;179
184;Egidio Arévalo Ríos;1982-01-01;Palermo Fc/Midfield/Defensive Midfield;168
185;Jevrem Kosnic;1993-04-28;Palermo Fc/Defender/Centre-Back;190
186;Mauro Cetto;1982-04-14;Palermo Fc/Defender/Centre-Back;182
187;Giacomo Brichetto;1983-05-09;Palermo Fc/Goalkeeper/Goalkeeper;194
188;Ignacio Lores Varela;1991-04-26;Palermo Fc/Attack/Right Winger;182
189;Steve von Bergen;1983-06-10;Palermo Fc/Defender/Centre-Back;182
190;Giuseppe D'Amico;1995-01-10;Palermo Fc/Midfield/Right Midfield;0
191;Carlos Labrín;1990-12-02;Palermo Fc/Defender/Centre-Back;182
192;Gabriel Hauche;1986-11-27;Chievo Verona/Attack/Centre-Forward;168
193;Francesco Dettori;1983-03-02;Chievo Verona/Midfield/Central Midfield;173
194;Rinaldo Cruzado;1984-09-21;Chievo Verona/Midfield/Central Midfield;180
195;Santiago Morero;1982-04-18;Chievo Verona/Defender/Centre-Back;183
196;Luciano;1975-12-03;Chievo Verona/Midfield/Right Midfield;180
197;Cristian Llama;1986-06-26;Ac Florenz/Attack/Attacking Midfield;179
198;Nii Nortey Ashong;1994-11-17;Ac Florenz/Defender/Left-Back;178
199;Niccolò Belloni;1994-07-10;Inter Mailand/Attack/Right Winger;176
200;Dejan Stankovi?;1978-09-11;Inter Mailand/Midfield/Central Midfield;181
201;Yago Del Piero;1994-01-14;Inter Mailand/Midfield/Central Midfield;0
202;Giovanni Terrani;1994-10-12;Inter Mailand/Attack/Left Winger;0
203;Tommaso Rocchi;1977-09-19;Inter Mailand/Attack/Centre-Forward;177
204;Marco Ferrara;1994-05-05;Inter Mailand/Defender/Left-Back;181
205;Matteo Cincilla;1994-10-24;Inter Mailand/Goalkeeper/Goalkeeper;188
206;Raffaele Dalle Vedove;1994-02-28;Inter Mailand/Goalkeeper/Goalkeeper;191
207;Gianluca Austoni;1994-02-04;Sampdoria Genua/Attack/Centre-Forward;0
208;Gonzalo Barreto;1992-01-22;Lazio Rom/Attack/Centre-Forward;175
209;Louis Saha;1978-08-08;Lazio Rom/Attack/Centre-Forward;182
210;Salam Dene;1993-06-08;Lazio Rom/Attack/Right Winger;178
211;Pasquale Foggia;1983-06-03;Lazio Rom/Attack/Attacking Midfield;167
212;Rocco Giordano;1995-02-07;Lazio Rom/Attack/Second Striker;175
213;Milos Antic;1994-10-28;Lazio Rom/Midfield/Central Midfield;185
214;Lorenzo Pace;1995-03-10;Lazio Rom/Midfield/Defensive Midfield;165
215;Cristian Brocchi;1976-01-30;Lazio Rom/Midfield/Central Midfield;171
216;Tommaso Mazzei;1995-01-02;Lazio Rom/Defender/Centre-Back;185
217;Tiziano Scarfagna;1994-01-26;Lazio Rom/Goalkeeper/Goalkeeper;188
218;Fabrizio Bianchi;1995-07-20;Lazio Rom/Defender/Centre-Back;0
219;Lorenzo Silvagni;1995-01-23;Lazio Rom/Defender/Centre-Back;175
220;Davide Lanzafame;1987-02-09;Catania Calcio/Attack/Centre-Forward;180
221;Takayuki Morimoto;1988-05-07;Catania Calcio/Attack/Centre-Forward;180
222;Adrián Ricchiuti;1978-06-30;Catania Calcio/Attack/Second Striker;168
223;Sem Addamo;1995-02-25;Catania Calcio/Midfield/Central Midfield;176
224;Mario Paglialunga;1988-10-29;Catania Calcio/Midfield/Defensive Midfield;182
225;Alessandro Potenza;1984-03-08;Catania Calcio/Defender/Centre-Back;185
226;Giuseppe Messina;1993-02-12;Catania Calcio/Goalkeeper/Goalkeeper;186
227;Wellington Paulista;1984-04-22;West Ham United/Attack/Centre-Forward;180
228;Marc-Antoine Fortuné;1981-07-02;West Bromwich Albion/Attack/Centre-Forward;183
229;Michael Owen;1979-12-14;Stoke City/Attack/Centre-Forward;173
230;Rory Delap;1976-07-06;Stoke City/Midfield/Central Midfield;183
231;Mamady Sidibé;1979-12-18;Stoke City/Attack/Centre-Forward;193
232;Florent Cuvelier;1992-09-12;Stoke City/Midfield/Central Midfield;175
233;James Hurst;1992-01-31;West Bromwich Albion/Defender/Centre-Back;183
234;Gabriel Tamas;1983-11-09;West Bromwich Albion/Defender/Centre-Back;188
235;Rob Hall;1993-10-20;West Ham United/Attack/Right Winger;173
236;Yossi Benayoun;1980-05-05;West Ham United/Attack/Right Winger;175
237;Charles Banya;1993-09-18;Fc Fulham/Midfield/Left Midfield;170
238;Alex Smith;1991-10-31;Fc Fulham/Midfield/Central Midfield;177
239;Jack Grimmer;1994-01-25;Fc Fulham/Defender/Right-Back;184
240;Csaba Somogyi;1985-04-07;Fc Fulham/Goalkeeper/Goalkeeper;190
241;Simon Davies;1979-10-23;Fc Fulham/Midfield/Right Midfield;178
242;Mark Gower;1978-10-05;Swansea City/Midfield/Central Midfield;180
243;Darnel Situ;1992-03-18;Swansea City/Defender/Centre-Back;187
244;Albert Crusat;1982-05-13;Wigan Athletic/Attack/Left Winger;160
245;Fraser Fyvie;1993-03-27;Wigan Athletic/Midfield/Central Midfield;172
246;Paul Scharner;1980-03-11;Wigan Athletic/Midfield/Defensive Midfield;191
247;Adam Buxton;1992-05-12;Wigan Athletic/Defender/Right-Back;185
248;Emmerson Boyce;1979-09-24;Wigan Athletic/Defender/Right-Back;180
249;Filip Orsula;1993-02-25;Wigan Athletic/Attack/Right Winger;183
250;Róger Espinoza;1986-10-25;Wigan Athletic/Midfield/Central Midfield;178
251;Jean Beausejour;1984-06-01;Wigan Athletic/Defender/Left-Back;178
252;Gary Caldwell;1982-04-12;Wigan Athletic/Defender/Centre-Back;185
253;Mike Pollitt;1972-02-29;Wigan Athletic/Goalkeeper/Goalkeeper;193
254;Lee Nicholls;1992-10-05;Wigan Athletic/Goalkeeper/Goalkeeper;191
255;Román Golobart;1992-03-21;Wigan Athletic/Defender/Centre-Back;193
256;Ali Al-Habsi;1981-12-30;Wigan Athletic/Goalkeeper/Goalkeeper;194
257;Rob Hulse;1979-10-25;Queens Park Rangers/Attack/Centre-Forward;185
258;Jay Bothroyd;1982-05-07;Queens Park Rangers/Attack/Centre-Forward;190
259;Thomas Hitzlsperger;1982-04-05;Fc Everton/Midfield/Central Midfield;0
260;Alex Nimely;1991-05-11;Manchester City/Attack/Centre-Forward;180
261;Phil Neville;1977-01-21;Fc Everton/Defender/Right-Back;180
262;Franck Ohandza;1991-09-28;Spvgg Greuther Furth/Attack/Centre-Forward;179
263;Stephan Hain;1988-09-27;Fc Augsburg/Attack/Centre-Forward;178
264;Dawda Bah;1983-11-12;Fc Augsburg/Attack/Left Winger;0
265;Somen Tchoyi;1983-03-29;Fc Augsburg/Attack/Attacking Midfield;190
266;Milan Petrzela;1983-06-19;Fc Augsburg/Midfield/Right Midfield;172
267;Marco Thiede;1992-05-20;Fc Augsburg/Defender/Right-Back;178
268;Simon Jentzsch;1976-05-04;Fc Augsburg/Goalkeeper/Goalkeeper;196
269;Kingsley Onuegbu;1986-03-05;Spvgg Greuther Furth/Attack/Centre-Forward;191
